ADDRESS1,ADDRESS2,ADDRESS3,AREA,CATEGORY,CE_CATEGORY,CITY,CLOSE_DATE,COLLECTION_DAY,CREATED_BY,CREATED_BY_USER,CREATION_DATE,DEPARTMENT,DISTRICT,DIVISION,FOLLOWUP_DATE,FULL_ADDRESS,GROUP_NAME,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_RESOLVED_DATE,INCIDENT_TYPE_ID,LAST_MODIFIED_DATE,LAST_UPDATE_DATE,LAST_UPDATE_LOGIN,LAST_UPDATED_BY,Location 1,MAP_PAGE,MLGW_ON,MLGW_STATUS,NEXT_OPEN_TASK_DATE,NUMBER_OF_TASKS,OWNER_NAME,PARCEL_ID,POSTAL_CODE,REPORTED_DATE,REQUEST_PRIORITY,REQUEST_STATUS,REQUEST_TYPE,RESOLUTION_CODE,RESOLUTION_CODE_MEANING,RESOLUTION_SUMMARY,SR_CREATION_CHANNEL,STATE,STREET_NAME,SUB_DISTRICT,SWM_CODE,TARGET_BLOCK,ZONE,location1,SUMMARY_1,City Council Districts,South City,SC Quarter Mile Buffer,Memphis 3.0 Planning Districts,Shelby County Zip Codes
5115 PILGRIM RD,,,D,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 09:35:02 AM,Solid Waste Management,,Solid Waste Management,,5115 PILGRIM RD MEMPHIS TENNESSEE,Memphis,7182823,7182823,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,5115 PILGRIM RD,,,A,,,,079113  00005,,11/15/2024 09:33:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,PILGRIM RD,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
8338 NORDMORE CV,,,E,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 03:51:33 PM,Solid Waste Management,,Solid Waste Management,,8338 NORDMORE CV MEMPHIS TENNESSEE,Memphis,7183076,7183076,,10432,,11/15/2024 03:51:33 PM,,,8338 NORDMORE CV,,,,,,,091105  00078,,11/15/2024 03:50:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,NORDMORE CV,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"2072 Goldbrier Ln, Memphis, Tennessee, 38134",,,A,Garbage,,MEMPHIS,,Monday,,,11/15/2024 03:35:11 PM,Solid Waste Management,,Solid Waste Management,,"2072 GOLDBRIER LN, MEMPHIS, TENNESSEE, 38134",MEMPHIS,7183057,7183057,,10431,,11/15/2024 03:35:11 PM,,,"2072 GOLDBRIER LN, MEMPHIS, TENNESSEE, 38134",,,,,,,089025  00114,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Missed Bulk Trash,,,,WEB,TN,GOLDBRIER LN,,,,A1,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
"11 S Orleans St, Memphis TN 38103, United States",,,B,Garbage,,MEMPHIS,,Friday,,,11/15/2024 10:03:16 AM,Solid Waste Management,,Solid Waste Management,,"11 S ORLEANS ST, MEMPHIS TN 38103, UNITED STATES",MEMPHIS,7182849,7182849,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"11 S ORLEANS ST, MEMPHIS TN 38103, UNITED STATES",,,A,,,,007033  00010C,,11/13/2024 06:00:00 PM,Medium,Open,SWM-Missed Bulk Trash,,,,WEB,TN,S ORLEANS ST,,,,B3,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
2715 WELCHLAWN ST,,,A,Billing,,MEMPHIS,,Monday,,,11/15/2024 11:56:56 AM,Solid Waste Management,,Solid Waste Management,,2715 WELCHLAWN ST MEMPHIS TENNESSEE,Memphis,7182918,7182918,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2715 WELCHLAWN ST,,,A,,,,088019  00005,,11/15/2024 11:54:00 AM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,WELCHLAWN ST,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2486 WARREN ST,,,D,Cart Maintenance,,MEMPHIS,,Thursday,,,11/15/2024 09:33:01 AM,Solid Waste Management,,Solid Waste Management,,2486 WARREN ST MEMPHIS TENNESSEE,Memphis,7182820,7182820,,10430,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2486 WARREN ST,,,A,,,,060158  00062,,11/15/2024 09:30:00 AM,Low,Open,SWM-Cart Repair,,,,WEB,Tennessee,WARREN ST,,,,D1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1001 SEMMES ST,,,,Weeds,,MEMPHIS,,,,,11/15/2024 12:02:28 PM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 06:01:26 AM,1001 SEMMES ST MEMPHIS TN 38114,MEMPHIS,50076399,50076399,,10205,,11/15/2024 12:02:28 PM,,,1001 SEMMES ST,,,,,,,059005  00019,38114,11/15/2024 12:02:28 PM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,SEMMES ST,,,114,,POINT (-89.98099 35.10836),Not Applicable,5,,,5,13
124 TIMBER CREEK DR,,,E,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 02:33:19 PM,Solid Waste Management,,Solid Waste Management,,124 TIMBER CREEK DR MEMPHIS TENNESSEE,Memphis,7182998,7182998,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,124 TIMBER CREEK DR,,,A,,,,091113  00125,,11/15/2024 02:31:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,TIMBER CREEK DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
837 FREEMAN ST,,,B,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 03:09:31 PM,Solid Waste Management,,Solid Waste Management,,837 FREEMAN ST MEMPHIS TENNESSEE,Memphis,7183034,7183034,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,837 FREEMAN ST,,,A,,,,038068  00013,,11/15/2024 03:07:00 PM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,FREEMAN ST,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2507 HEARD AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 11:31:45 AM,Code Enforcement,,Public Works,,2507 HEARD AVE MEMPHIS TENNESSEE 38108,Memphis,7182906,7182906,,10547,,11/15/2024 11:31:45 AM,,,2507 HEARD AVE,,,,,,,042066  00005,38108,11/15/2024 11:29:00 AM,Low,Open,CE-Weeds Occupied Property,,,,WEB,Tennessee,HEARD AVE,,,39,,POINT (-89.98073 35.17384),Not Applicable,7,,,7,8
816 JACKSON AVE,,,,,,MEMPHIS,,,,,11/15/2024 11:10:50 AM,CODE ENFORCEMENT,,Public Works,12/16/2024 11:09:43 AM,816 JACKSON AVE MEMPHIS TENNESSEE 38107,MEMPHIS,50076381,50076381,,34747,,11/15/2024 11:46:16 AM,,,816 JACKSON AVE,,,,,,,027022  00020,38107,11/15/2024 11:09:00 AM,Low,In Progress,COMM-Graffiti,,,,WEB,Tennessee,JACKSON AVE,,,33,,POINT (-90.03625 35.16726),Not Applicable,7,,,7,7
652 S GRAHAM ST,,,,Others,,MEMPHIS,11/15/2024 02:00:00 PM,,,,11/15/2024 12:46:09 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,652 S GRAHAM ST MEMPHIS TENNESSEE 38111,MEMPHIS,50076402,50076402,,10688,,11/15/2024 02:11:10 PM,,,652 S GRAHAM ST,045,,,,,,046054  00017,38111,11/15/2024 06:44:51 AM,Low,Closed,EMI-Sewer Backup,,,ROOTS  6 TV AND CABLE ER TO SHOP,WEB,Tennessee,S GRAHAM ST,,,,,POINT (-89.94286 35.1124),Not Applicable,4,,,9,10
892 NEW YORK ST,,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 12:12:59 PM,Solid Waste Management,,Solid Waste Management,,892 NEW YORK ST MEMPHIS TENNESSEE,Memphis,7182928,7182928,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,892 NEW YORK ST,,,A,,,,029019  00015,,11/15/2024 12:10:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,NEW YORK ST,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"8531?8567 Riverwood Farms Pkwy, Memphis TN 38016, United States",,,E,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 03:41:14 PM,Solid Waste Management,,Solid Waste Management,,"8531?8567 RIVERWOOD FARMS PKWY, MEMPHIS TN 38016, UNITED STATES",MEMPHIS,7183068,7183068,,10432,,11/15/2024 03:41:14 PM,,,"8531?8567 RIVERWOOD FARMS PKWY, MEMPHIS TN 38016, UNITED STATES",,,,,,,096500  00727,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Garbage Missed,,,,WEB,TN,RIVERWOOD FARMS PKWY,,,,E1,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
1160 SLEDGE AVE,,,,Maintenance,,Memphis,11/15/2024 11:36:23 AM,,,,11/15/2024 09:43:22 AM,STREET MAINTENANCE,,Public Works,,1160 SLEDGE AVE MEMPHIS  TN,MEMPHIS,50076335,50076335,,10268,,11/15/2024 04:00:28 PM,,,1160 SLEDGE AVE,035,,,,,,032027  00010,,11/15/2024 03:41:07 AM,High,Closed,PW (ROW)-Trees Trimming,PWSMTTRD,,Completed by the HUB Group,WEB,Tn,SLEDGE AVE,,,,,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
756 SHOTWELL ST,,,,Cleanup,,MEMPHIS,,,,,11/15/2024 10:31:19 AM,HEAVY EQUIPMENT SERVICES,,Public Works,,756 SHOTWELL ST MEMPHIS TENNESSEE,Memphis,7182876,7182876,,10203,,11/15/2024 10:31:19 AM,,,756 SHOTWELL ST,,,,,,,046049  00025,,11/15/2024 10:28:00 AM,Low,Open,PW (HE)-Street Cleaning,,,,WEB,Tennessee,SHOTWELL ST,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4406 PRESCOTT RD,,,,Maintenance-Potholes,,MEMPHIS,,,,,11/15/2024 12:31:18 PM,STREET MAINTENANCE,,Public Works,,4406 PRESCOTT RD MEMPHIS TENNESSEE,Memphis,7182943,7182943,,10266,,11/15/2024 12:31:18 PM,,,4406 PRESCOTT RD,084,,,,,,073092  00072,,11/15/2024 12:29:00 PM,High,Open,PW (SM)-Potholes,,,,WEB,Tennessee,PRESCOTT RD,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
6445 MASSEY LN,,,C,Cart Maintenance,,MEMPHIS,,Monday,,,11/15/2024 02:51:22 PM,Solid Waste Management,,Solid Waste Management,,6445 MASSEY LN MEMPHIS TENNESSEE,Memphis,7183010,7183010,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,6445 MASSEY LN,,,A,,,,080017  00001,,11/15/2024 02:48:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,MASSEY LN,,,,C1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
505 EASTERN DR,,,B,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 04:52:04 PM,Solid Waste Management,,Solid Waste Management,,505 EASTERN DR MEMPHIS TENNESSEE,Memphis,7183117,7183117,,10441,,11/15/2024 04:52:04 PM,,,505 EASTERN DR,,,,,,,055029  00021,,11/15/2024 04:50:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,EASTERN DR,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"6976-7060 Walnut Grove Rd, Memphis, TN, 38134, USA",,,,Maintenance,,MEMPHIS,,,,,11/15/2024 05:50:13 AM,STREET MAINTENANCE,,Public Works,,"6976-7060 WALNUT GROVE RD, MEMPHIS, TN, 38134, USA",CITIZEN,7182726,7182726,,10438,,11/15/2024 07:01:54 AM,,,"6976-7060 WALNUT GROVE RD, MEMPHIS, TN, 38134, USA",141,,,,,,,,11/15/2024 05:45:00 AM,Low,In Progress,PW (ROW)-Roadside Litter,,,,WEB,Tennessee,WALNUT GROVE RD,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
6659 MALEJ RD,,,E,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 08:50:23 AM,Solid Waste Management,,Solid Waste Management,,6659 MALEJ RD MEMPHIS TENNESSEE,Memphis,7182771,7182771,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,6659 MALEJ RD,,,A,,,,093719 A00005,,11/15/2024 08:48:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,MALEJ RD,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4027 EBBTIDE ST,,,D,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 09:20:50 AM,Solid Waste Management,,Solid Waste Management,,4027 EBBTIDE ST MEMPHIS TENNESSEE,Memphis,7182804,7182804,,10430,,11/15/2024 03:23:13 PM,,jjackson_AWPM,4027 EBBTIDE ST,,,A,,,,075105  00032,,11/15/2024 09:19:00 AM,Low,Open,SWM-Cart Repair,,,,WEB,Tennessee,EBBTIDE ST,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"127 Morningside Pl, Memphis TN 38104, United States",,,B,Cart Maintenance,,MEMPHIS,,Thursday,,,11/15/2024 09:30:53 AM,Solid Waste Management,,Solid Waste Management,,"127 MORNINGSIDE PL, MEMPHIS TN 38104, UNITED STATES",MEMPHIS,7182814,7182814,,10430,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"127 MORNINGSIDE PL, MEMPHIS TN 38104, UNITED STATES",,,A,,,,028041  00004C,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Cart Repair,,,,WEB,TN,MORNINGSIDE PL,,,,B1,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
207 BUENA VISTA PL,,,B,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 03:19:34 PM,Solid Waste Management,,Solid Waste Management,,207 BUENA VISTA PL MEMPHIS TENNESSEE,Memphis,7183043,7183043,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,207 BUENA VISTA PL,,,A,,,,020077  00028,,11/15/2024 03:17:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,BUENA VISTA PL,,,,B2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
8411 CREEK FRONT DR,,,E,Service,,MEMPHIS,,Thursday,,,11/15/2024 09:18:49 AM,Solid Waste Management,,Solid Waste Management,,8411 CREEK FRONT DR MEMPHIS TENNESSEE,Memphis,7182801,7182801,,10439,,11/15/2024 03:23:13 PM,,jjackson_AWPM,8411 CREEK FRONT DR,,,A,,,,096507 F00068,,11/15/2024 09:16:00 AM,Low,Open,SWM-Service Quality,,,,WEB,Tennessee,CREEK FRONT DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
,,,,Patrol-Vehicles,,MEMPHIS,,,,,11/15/2024 12:11:01 PM,Police Services,,Police Services,,,,7182927,7182927,,10250,,11/15/2024 12:11:01 PM,,,,,,,,,,060134  00020,,11/15/2024 12:07:00 PM,Low,Open,PD-Abandoned Vehicles,,,,WEB,Tennessee,,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2129 WASHINGTON AVE,,,,Cleanup,,MEMPHIS,,,,,11/15/2024 03:51:23 PM,HEAVY EQUIPMENT SERVICES,,Public Works,,2129 WASHINGTON AVE MEMPHIS TENNESSEE,Memphis,7183077,7183077,,10203,,11/15/2024 03:51:23 PM,,,2129 WASHINGTON AVE,,,,,,,017070  00010,,11/15/2024 03:50:00 PM,Low,Open,PW (HE)-Street Cleaning,,,,WEB,Tennessee,WASHINGTON AVE,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
180 N MENDENHALL RD,,,,Drain Maintenance,,MEMPHIS,,,,,11/15/2024 02:59:32 PM,DRAIN MAINTENANCE,,Public Works,11/22/2024 08:58:05 AM,180 N MENDENHALL RD MEMPHIS TN 38117,MEMPHIS,50076422,50076422,,24747,,11/15/2024 02:59:32 PM,,,180 N MENDENHALL RD,039,,,,,,064013  00015,38117,11/15/2024 08:58:00 AM,Low,Open,PW (DM)-PREVENTATIVE MAINTENANCE,,,,WEB,TN,N MENDENHALL RD,,,,,POINT (-89.926 35.11582),Not Applicable,4,,,9,16
683 CREEKSTONE CIR,,,,Others,,MEMPHIS,11/15/2024 07:30:00 PM,,,,11/15/2024 04:10:25 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,683 CREEKSTONE CIR MEMPHIS TENNESSEE 38127,MEMPHIS,50076428,50076428,,10688,,11/15/2024 07:44:23 PM,,,683 CREEKSTONE CIR,118,,,,,,D0134H A00077,38127,11/15/2024 10:09:05 AM,Low,Closed,EMI-Sewer Backup,,,"EH-221
CLEARED  CONN/THIS IS AN IMPROPER C/O/GOES BACK UNDER HOUSE/PUTTING ON NO GO UNTIL THEY FIND PROPER C/O",WEB,Tennessee,CREEKSTONE CIR,,,,,POINT (-89.99916 35.21217),Not Applicable,7,,,1,23
591 E DAVANT AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 10:37:30 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 04:36:45 AM,591 E DAVANT AVE MEMPHIS TN 38106,MEMPHIS,50076365,50076365,,10204,,11/15/2024 10:37:30 AM,,,591 E DAVANT AVE,,,,,,,049055  00006,38106,11/15/2024 10:37:30 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,E DAVANT AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
"135 N Rembert St, Memphis, TN, 38104, USA",,,B,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 09:21:08 PM,Solid Waste Management,,Solid Waste Management,,"135 N REMBERT ST, MEMPHIS, TN, 38104, USA",CITIZEN,7183128,7183128,,10430,,11/15/2024 09:21:08 PM,,,"135 N REMBERT ST, MEMPHIS, TN, 38104, USA",,,,,,,,,11/15/2024 09:14:00 PM,Low,Open,SWM-Cart Repair,,,,WEB,Tennessee,N REMBERT ST,,,,B2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
646 E GAGE AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 10:07:56 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 04:07:23 AM,646 E GAGE AVE MEMPHIS TN 38106,MEMPHIS,50076353,50076353,,10205,,11/15/2024 10:07:56 AM,,,646 E GAGE AVE,,,,,,,049056  00022,38106,11/15/2024 10:07:56 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,E GAGE AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
2703 MAHUE DR,,,A,Cart Maintenance,,MEMPHIS,,Tuesday,,,11/15/2024 04:13:59 PM,Solid Waste Management,,Solid Waste Management,,2703 MAHUE DR MEMPHIS TENNESSEE,Memphis,7183098,7183098,,10441,,11/15/2024 04:13:59 PM,,,2703 MAHUE DR,,,,,,,072117  00002,,11/15/2024 04:11:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,MAHUE DR,,,,A3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3179 CHERRYWOOD CV,,,A,Recycle,,MEMPHIS,,Tuesday,,,11/15/2024 10:11:19 AM,Solid Waste Management,,Solid Waste Management,,3179 CHERRYWOOD CV MEMPHIS TENNESSEE,Memphis,7182859,7182859,,10435,,11/15/2024 10:20:01 AM,,,3179 CHERRYWOOD CV,,,,,,,083017  00025,,11/15/2024 10:09:00 AM,Low,Closed,SWM-Recycling Missed,SWM100,,p/u,WEB,Tennessee,CHERRYWOOD CV,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2160 PAMELA DR,,,A,Billing,,MEMPHIS,,Thursday,,,11/15/2024 02:59:29 PM,Solid Waste Management,,Solid Waste Management,,2160 PAMELA DR MEMPHIS TENNESSEE,Memphis,7183020,7183020,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2160 PAMELA DR,,,A,,,,072091  00019,,11/15/2024 02:57:00 PM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,PAMELA DR,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"5724 Mt Moriah Rd, Memphis TN 38115, United States",,,,Maintenance-Potholes,,MEMPHIS,11/15/2024 09:15:00 AM,,,,11/15/2024 06:26:14 AM,STREET MAINTENANCE,,Public Works,,"5724 MT MORIAH RD, MEMPHIS TN 38115, UNITED STATES",MEMPHIS,7182728,7182728,,10266,,11/15/2024 09:19:08 AM,,,"5724 MT MORIAH RD, MEMPHIS TN 38115, UNITED STATES",068,,,,,,074090 F00021C,,11/14/2024 06:00:00 PM,Medium,Closed,PW (SM)-Potholes,OTHER,,MLGW - This falls under the purview of MLGW. Any further inquiries should be directed to them.,WEB,TN,MT MORIAH RD,,,,,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
169 LONE OAK CV,,,D,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 10:01:15 AM,Solid Waste Management,,Solid Waste Management,,169 LONE OAK CV MEMPHIS TENNESSEE,Memphis,7182846,7182846,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,169 LONE OAK CV,,,A,,,,075258  00050,,11/15/2024 09:58:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,LONE OAK CV,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
5185 JUDY LYNN AVE,,,D,Garbage,,MEMPHIS,,Monday,,,11/15/2024 10:19:24 AM,Solid Waste Management,,Solid Waste Management,,5185 JUDY LYNN AVE MEMPHIS TENNESSEE,Memphis,7182867,7182867,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,5185 JUDY LYNN AVE,,,A,,,,074064  00006,,11/15/2024 10:17:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,JUDY LYNN AVE,,,,D1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
836 E E BODLEY AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:18:06 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:17:32 AM,836 E E BODLEY AVE MEMPHIS TN 38106,MEMPHIS,50076317,50076317,,10205,,11/15/2024 09:18:06 AM,,,836 E E BODLEY AVE,,,,,,,049069  00012,38106,11/15/2024 09:18:06 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,E E BODLEY AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
1331 KENTUCKY ST,,,C,Garbage,,MEMPHIS,,Friday,,,11/15/2024 10:29:27 AM,Solid Waste Management,,Solid Waste Management,,1331 KENTUCKY ST MEMPHIS TENNESSEE,Memphis,7182873,7182873,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1331 KENTUCKY ST,,,A,,,,024033 A00024,,11/15/2024 10:27:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,KENTUCKY ST,,,,C1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
542 E E MALLORY,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:55:26 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:53:17 AM,542 E E MALLORY MEMPHIS TN 38106,MEMPHIS,50076344,50076344,,10204,,11/15/2024 09:55:26 AM,,,542 E E MALLORY,,,,,,,049010  00018,38106,11/15/2024 09:55:26 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,E E MALLORY,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
175 W CHICKASAW PKWY,,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 03:47:32 PM,Solid Waste Management,,Solid Waste Management,,175 W CHICKASAW PKWY MEMPHIS TENNESSEE,Memphis,7183073,7183073,,10432,,11/15/2024 03:47:32 PM,,,175 W CHICKASAW PKWY,,,,,,,045053  00005,,11/15/2024 03:45:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,W CHICKASAW PKWY,,,,B1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2603 ELVIS PRESLEY BLVD,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:06:52 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:05:54 AM,2603 ELVIS PRESLEY BLVD MEMPHIS TN 38106,MEMPHIS,50076310,50076310,,10204,,11/15/2024 09:06:52 AM,,,2603 ELVIS PRESLEY BLVD,,,,,,,060171  00013,38106,11/15/2024 09:06:52 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,ELVIS PRESLEY BLVD,,,135,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
908 LEACREST AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:56:57 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:56:14 AM,908 LEACREST AVE MEMPHIS TN 38109,MEMPHIS,50076345,50076345,,10204,,11/15/2024 09:56:57 AM,,,908 LEACREST AVE,,,,,,,075137  00029,38109,11/15/2024 09:56:57 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,LEACREST AVE,,,163,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
619 N GRAHAM ST,,,,,,Memphis,,,,,11/15/2024 03:32:46 PM,ENVIRONMENTAL ENFORCEMENT,,Public Works,,619 N GRAHAM ST  MEMPHIS TN 38122,MEMPHIS,31747,50076423,,31747,,11/15/2024 03:32:46 PM,,,619 N GRAHAM ST,,,,,,,044136  00038,38122,11/15/2024 09:31:38 AM,Low,In Progress,EE-Illegal Dumping,VOPO,,,WEB,TN,N GRAHAM ST,,,50,,POINT (-89.923883 35.154861),Not Applicable,4,,,6,20
878 BLYTHE ST,,,,Others,,MEMPHIS,,,,,11/15/2024 10:45:50 AM,DRAIN MAINTENANCE,,Public Works,11/22/2024 04:40:37 AM,878 BLYTHE ST MEMPHIS TN 38104,MEMPHIS,50076370,50076370,,14747,,11/15/2024 10:45:50 AM,,,878 BLYTHE ST,036,,,,,,029013  00001C,38104,11/15/2024 04:41:00 AM,Low,Open,PW (DM)-REPAIR,,,,WEB,TN,BLYTHE ST,,,,,POINT (-90.00139 35.13534),Not Applicable,4,,,8,4
567 E PARKWAY S,,,,Maintenance,,MEMPHIS,,,,,11/15/2024 02:55:18 PM,STREET MAINTENANCE,,Public Works,,567 E PARKWAY S MEMPHIS TENNESSEE,Memphis,7183015,7183015,,10268,,11/15/2024 02:55:18 PM,,,567 E PARKWAY S,036,,,,,,028034  00035,,11/15/2024 02:54:00 PM,Low,Open,PW (ROW)-Trees Trimming,,,,WEB,Tennessee,E PARKWAY S,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2256 VOLLINTINE AVE,,,A,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 09:30:53 AM,Solid Waste Management,,Solid Waste Management,,2256 VOLLINTINE AVE MEMPHIS TENNESSEE,Memphis,7182817,7182817,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2256 VOLLINTINE AVE,,,A,,,,052001  00009,,11/15/2024 09:29:00 AM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,VOLLINTINE AVE,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
